date,AssetEODCompletionTime,BlkCnt,BlkSizeMeanByte,CapMrktCurUSD,CapMrktFFUSD,DiffLast,DiffMean,FeeByteMeanNtv,FeeMeanNtv,FeeMeanUSD,FeeMedNtv,FeeMedUSD,FeeTotNtv,FeeTotUSD,HashRate,IssContNtv,IssContPctAnn,IssContPctDay,IssContUSD,IssTotNtv,IssTotUSD,PriceBTC,PriceUSD,ROI1yr,ROI30d,RevAllTimeUSD,RevHashNtv,RevHashRateNtv,RevHashRateUSD,RevHashUSD,RevNtv,RevUSD,SplyCur,SplyExpFut10yr,TxCnt,TxCntSec,TxTfrCnt,VtyDayRet180d,VtyDayRet30d
2020-01-26,1614335605,709,26333.6022567,1106864007.506479384312209516,1106864007.506479384312209516,144125747734,144894543431.18054,1.8E-7,0.0004864056826951603,0.03091093271981675595697437358,0.0000341,0.00216704459517252927,3.27740149,208.277864666125930691103,1207454528.5931711,1393.048922272558,2.91927,0.007998,88527.83395371447637413434524,1393.048922272558,88527.83395371447637413434524,0.0074120157203660395,63.5496948730947,40.3867353063106,41.27517974256635,404013851.86234164,1.3E-11,0.000001156421,0.000073490231,8.51E-10,1396.326323762558,88736.11181838060230482544824,17417298.53647333602896,19336026.670716637171,6738,0.07798611,15430,0.0377141024207974,0.04122095519747913
2020-01-27,1614335605,716,28425.04050279,1140317445.090309815812398369,1140317445.090309815812398369,142974676779,141062843904.7905,1.7E-7,0.0004640022779063568,0.03037596306919789416746118973,0.00003405,0.00222908720873764149,3.379328589992,221.2281390329684874789221136,1175523699.2065876,1404.89205411837,2.943725,0.008065,91971.42165910158451982364415,1404.89205411837,91971.42165910158451982364415,0.007354012096393885,65.4651162624858,42.25397375700914,44.20775706406276,404106044.5121398,1.4E-11,0.000001197995,0.000078426875,9.08E-10,1408.271382708362,92192.64979813455300730256626,17418703.42852745439896,19336456.263370193627,7283,0.08429398,16636,0.03773380266124089,0.04135072071340612
2020-01-28,1614335605,729,29817.8436214,1175978516.249821666702753379,1175978516.249821666702753379,146995216216,145610442010.73114,1.9E-7,0.0005335656976147767,0.03601934833195354338129797732,0.000034,0.0022952334618980658,4.16074531,280.878878292571793394747,1213420350.0894263,1428.430054539328,2.993,0.0082,96428.83703410425722729744799,1428.430054539328,96428.83703410425722729744799,0.007260841885915016,67.5068665264137,56.43222277382179,44.84587870548048,404202754.2280522,1.4E-11,0.000001180622,0.000079700094,9.22E-10,1432.590799849328,96709.71591239682902069219499,17420131.85858199372696,19336893.655880050129,7798,0.09025463,17626,0.037773844736028836,0.041410427302959234
2020-01-29,1614335605,715,38500.48391608,1220704911.203663098809023643,1220704911.203663098802016768,143371868642,144678568745.07132,1.2E-7,0.0003349520943337166,0.02346967486848047980295705337,0.00003396,0.002379534781291759404,3.20984592,224.909894264648005081008,1205654739.542261,1399.0685566179761,2.931315,0.008031,98030.98621566941307452105603,1399.0685566179761,98030.98621566941307452105603,0.007524607563970374,70.0687509214299,63.89759947259076,52.58500209067976,404301010.12416214,1.3E-11,0.000001163085,0.000081495882,9.43E-10,1402.278402537976,98255.89610993405407272697188,17421530.92713861170306,19337322.648103220957,9583,0.11091435,21663,0.03784301531770782,0.04132383522568298
2020-01-30,1614335605,696,40140.83333333,1298854002.640933031064395853,1298854002.640933031064395853,137864577991,142123078556.89368,1.9E-7,0.0006251455724006391,0.04660379447346315637765857072,0.00003392,0.002528692161202378816,5.250597662593,391.4252697826194508172446589,1184358987.974114,1360.022399323916,2.84919,0.007806,101387.9121530081902102337653,1360.022399323916,101387.9121530081902102337653,0.00783987035516855,74.5487075826173,71.11462589223024,67.6936436623378,404402789.4615849,1.3E-11,0.000001152753,0.000085936222,9.95E-10,1365.272996986509,101779.33742279080966105101,17422890.94953793561906,19337740.229237758187,8399,0.09721065,19291,0.03797913527648883,0.0412535493144548
2020-01-31,1614335605,748,25252.56818182,1255740877.113156426894513029,1255740877.113156426894513029,148409010407,141229052215.377,1.4E-7,0.00041379448821292917,0.02982140712932580102451347963,0.00003388,0.002441669239977057244,2.72069876,196.075751875316472024788,1176908768.4614751,1459.662747904689,3.057605,0.008377,105195.2075649133676741113698,1459.662747904689,105195.2075649133676741113698,0.0077018238796025705,72.0681593853913,67.08433550748046,57.822700752681534,404508180.7449017,1.4E-11,0.000001242563,0.000089549238,1.036E-9,1462.383446664689,105391.2833167886841461361578,17424350.61228584030806,19338189.021520058283,6575,0.07609954,15812,0.038056180907747816,0.04224211764250239
2020-02-01,1614335605,720,30077.59166667,1274716077.936342541644275301,1274716077.936342541644275301,148257369520,149828422214.5153,1E-7,0.0002717131268398806,0.01987616133777118527170502141,0.00003382,0.002473976080071954166,2.12289466,155.292448532007212145658,1248570185.1209607,1403.057310370657,2.93898,0.008052,102635.4294744854278681988106,1403.057310370657,102635.4294744854278681988106,0.007797075511396847,73.1512738046113,69.42695485505536,61.31681939010698,404610971.4668247,1.3E-11,0.000001125431,0.000082326747,9.53E-10,1405.180205030657,102790.7219230174350803444686,17425753.66959621096506,19338621.014081587249,7813,0.09042824,18047,0.03781293490208727,0.04203412661792949
2020-02-02,1614335605,729,28289.84224966,1303974959.107558462393241495,1303974959.107558462393241495,147434942056,144319819109.72565,9E-8,0.00024848593667892865,0.01859277187824151861506219716,0.00003376,0.002526066412444424256,1.89147495,141.52817953717407427122,1202665159.2477138,1418.633792190846,2.9711,0.00814,106148.1982823447642800778242,1418.633792190846,106148.1982823447642800778242,0.008011686588110129,74.8242420747756,75.87863077542636,46.84912567980122,404717261.1932866,1.4E-11,0.000001181148,0.000088378486,1.023E-9,1420.525267140846,106289.7264618819383543490442,17427172.30338840181106,19339058.406537532211,7612,0.08810185,17307,0.03770544637320418,0.037536916894652245
2020-02-03,1614335606,739,33578,1336890976.813336565741503023,1336890976.813336565741503023,159898580709,153069645707.43842,1.3E-7,0.0003468390049194931,0.02660487434418568950907107207,0.00003372,0.002586549811761155748,3.10212806,237.953996134400927161954,1275580380.8953202,1436.081868719976,3.0076,0.00824,110157.0962992663909756621333,1436.081868719976,110157.0962992663909756621333,0.00826597482458563,76.7066966714459,81.52050309252198,52.815223209261696,404827656.243582,1.3E-11,0.000001128258,0.000086544958,1.002E-9,1439.183996779976,110395.0502954007919028240873,17428608.38525712178706,19339501.798876796074,8944,0.10351852,20028,0.03719480273976165,0.0372233153523403
2020-02-04,1614335606,740,32853.46351351,1306144803.224780344468103852,1306144803.224780344468103852,173431333361,161192320687.6108,1.3E-7,0.0003714561096667463,0.02783558415667451886992298487,0.00003367,0.002523108636969429145,3.1432616,235.5447131337792398396,1343269339.0634234,1435.997374511033,3.007235,0.008239,107608.4757438138208071120735,1435.997374511033,107608.4757438138208071120735,0.008179376854914738,74.9364014543935,77.96272214345451,39.89065437778749,404935500.264039,1.2E-11,0.000001071372,0.000080284733,9.29E-10,1439.140636111033,107844.0204569476000469516735,17430044.38263163282006,19339945.790920209263,8462,0.09793981,18975,0.03719685196445768,0.03654817556899204
2020-02-05,1614335606,706,32850.19971671,1355842920.999634469792548676,1355842920.999634469800326835,160179190506,161226562553.5184,1.5E-7,0.000437308594950612,0.03401455632258157727708980778,0.00003362,0.002615016939455176006,3.58549317,278.885347288841079436671,1343554687.9459867,1368.1318527906199,2.864885,0.007849,106415.4661051655636896222612,1368.1318527906199,106415.4661051655636896222612,0.00807857099978225,77.7815865394163,81.6495823597126,32.057168467177206,405042194.61549145,1.2E-11,0.000001020961,0.00007941199,9.19E-10,1371.71734596062,106694.3514524544125472175861,17431412.51448442343996,19340369.383541857418,8199,0.09489583,18406,0.037282222120956506,0.033373851722587076
2020-02-06,1614335606,725,27924.82344828,1360585759.560438269403650179,1360585759.560438269403650179,155429063977,157532649216.72964,1.3E-7,0.0003533452839210905,0.02757767729119260837960972935,0.00003357,0.002620050892973239086,2.552212985762,199.1935630742813474305731276,1312772076.8060803,1403.035373840623,2.93752,0.008048,109503.2494520156872757829085,1403.035373840623,109503.2494520156872757829085,0.008013671115340515,78.0473903179398,83.29321473028453,33.22266937168635,405151897.05850655,1.2E-11,0.000001070702,0.000083565491,9.67E-10,1405.587586826385,109702.4430150899686232134816,17432815.54985826406296,19340804.375999597918,7223,0.08359954,16232,0.03722101952200311,0.033279321050801385
2020-02-07,1614335606,716,26684.27513966,1386134385.160471394908922986,1386134385.160471394924824312,158487826395,161168562503.2081,1.1E-7,0.0003188861281204998,0.02535356057431271337234740024,0.00003352,0.00266506215074311008,2.159496859632,171.694312209243735469000128,1343071354.1934009,1383.7154847493998,2.897005,0.007937,110014.5514857631433999682358,1383.7154847493998,110014.5514857631433999682358,0.008112689869864983,79.506627408804,86.31610804778748,33.89338410972223,405262083.30430454,1.2E-11,0.00000103187,0.0000820405,9.5E-10,1385.874981609032,110186.2457979724030367627177,17434199.26534301346276,19341233.968533636658,6772,0.07837963,15460,0.03721976776861977,0.03331243944500493
2020-02-08,1614335606,714,25478.68067227,1410939970.229403440083533132,1410939970.229403440083533132,161521522764,159923419991.965,8E-8,0.00022736140705743077,0.01839877697062250459323314281,0.00003348,0.002709303487116633072,1.53991881,124.614916422027954941484,1332695166.5997083,1377.969879753679,2.884595,0.007903,111509.516139735067980221481,1377.969879753679,111509.516139735067980221481,0.008164730866972515,80.9230432233164,70.36902788609332,37.525896058785314,405373717.43536067,1.2E-11,0.000001035128,0.000083765691,9.7E-10,1379.509798563679,111634.131056157095935162965,17435577.23522276714176,19341662.361084190447,6773,0.0783912,15493,0.03723428171075413,0.03314852037046217
2020-02-09,1614335606,701,31734.65049929,1524029160.872823020967805856,1524029160.872823020976546095,157514642121,157494311751.83453,1.1E-7,0.000294410851944792,0.02573221132402091224899574698,0.00003344,0.002922735833245092832,2.34645449,205.085724252447348867022,1312452597.9319544,1351.0563781712879,2.82802,0.007748,118085.5529071637676736538467,1351.0563781712879,118085.5529071637676736538467,0.00861015377498427,87.4023873578078,82.85474231846165,49.86978880522213,405492008.0739921,1.2E-11,0.000001031201,0.000090129456,1.043E-9,1353.402832661288,118290.6386314162237627596044,17436928.29160093842966,19342082.953761736574,7970,0.09224537,17927,0.03738425113237734,0.03505987723738093
2020-02-10,1614335606,724,30587.08977901,1478732548.482859497785643337,1478732548.48285949777716355,159982945677,157649294028.65747,1.5E-7,0.00045368929061470283,0.03847188561921432794974124834,0.0000334,0.00283224886781164078,3.30648755,280.383102392837903716835,1313744116.905479,1393.4888889305541,2.916715,0.007991,118164.8900593312305431177544,1393.4888889305541,118164.8900593312305431177544,0.008589420787460104,84.7978702937617,72.82672848172838,45.104049422147554,405610453.3471538,1.2E-11,0.000001063217,0.000090158556,1.044E-9,1396.795376480554,118445.27316172405996704756,17438321.78048986898376,19342517.34587684737,7288,0.08435185,16505,0.036912770899424234,0.03590909822390799
2020-02-11,1614335606,722,27977.59833795,1563126523.855465757481804572,1563126523.855465757481804572,151823923308,150477539749.79364,1.3E-7,0.00036409448759288,0.03263390084292883806197678403,0.00003335,0.00298917075154575794,2.59708598,232.777614712610233116872,1253979497.914947,1387.725439898853,2.904305,0.007957,124382.2577547712732657689602,1387.725439898853,124382.2577547712732657689602,0.008725502870011764,89.6303073926764,89.20712748245569,51.63708067660596,405735068.38252324,1.3E-11,0.000001108728,0.000099375656,1.15E-9,1390.322525878853,124615.0353694838834988858322,17439709.50592976783676,19342950.538309169464,7133,0.08255787,16397,0.03696330117381397,0.03675591360348454
2020-02-12,1614335606,742,50511.07008086,1650417396.215641416840622831,1650417396.215641416840622831,158526323730,156046880524.24933,8E-8,0.0002185748453232236,0.02068327286922983601757662848,0.00003246,0.003071620782082129122,2.99578683,283.484937945654417807981,1300390671.0354111,1424.176218660665,2.98059,0.008166,134766.7674240678115327144311,1424.176218660665,134766.7674240678115327144311,0.00913384542950548,94.6278737548407,96.86353671415371,63.338595081824224,405870118.63488525,1.3E-11,0.000001097495,0.0001038536,1.202E-9,1427.172005490665,135050.2523620134659505224121,17441133.68214842850176,19343395.730339924135,13706,0.15863426,29352,0.0371794054568957,0.03689336674229296
2020-02-13,1614335607,701,64929.61340942,1615302951.069582643549438662,1615302951.069582643549438662,155312403010,158878852281.9301,1.4E-7,0.0007724892665276778,0.07153824386554974977469804045,0.00003328,0.003081975192415431936,6.29810499,583.251302235812560971363,1323990435.682751,1343.578502262771,2.811595,0.007703,124425.3489494153096616597157,1343.578502262771,124425.3489494153096616597157,0.00904767250068737,92.6074276567137,91.30274956066732,47.492166226768205,405995127.2351369,1.2E-11,0.000001019552,0.000094418054,1.093E-9,1349.876607252771,125008.6002516511222226310787,17442477.26065069127276,19343816.30619439423,8153,0.09436343,18233,0.03721154476804606,0.03545480064903661
2020-02-14,1614335607,735,32301.86122449,1657933236.016234268367136656,1657933236.016234268367136656,162314810595,158673416478.3102,1.1E-7,0.0002962833333333352,0.02815989729362507895178152778,0.00003322,0.003157355419117576292,2.559888,243.3015126169191492768,1322278470.652585,1406.87319579197,2.943725,0.008065,133714.590871313648701409989,1406.87319579197,133714.590871313648701409989,0.009172682559806127,95.0438115327386,106.2086700349875,39.5159265992345,406129085.12752086,1.2E-11,0.000001065912,0.000101308382,1.173E-9,1409.43308379197,133957.892383930567850686789,17443884.13384648324276,19344257.298463783034,8640,0.1,19183,0.03686290836156585,0.033121031631832665
2020-02-15,1614335607,731,29024.12175103,1556572692.310087878104020691,1556572692.310087878104020691,163833749883,164682114072.09848,1E-7,0.00029390205107846786,0.02622370465381576033186148486,0.00003317,0.002959626447570565666,2.2210178,198.17253606888734097844,1372350950.6008208,1397.261820115326,2.923285,0.008009,124672.0843229998504852937949,1397.261820115326,124672.0843229998504852937949,0.00900206643037057,89.2260008311898,91.84882270721926,35.892798731363094,406253955.3843799,1.2E-11,0.00000101977,0.000090990032,1.053E-9,1399.482837915326,124870.2568590687378262722349,17445281.39566659856876,19344695.890745466796,7557,0.08746528,16928,0.037124767799360595,0.03474333613177489
