time,market-cap
1616126400000.0,0.0
1616212800000.0,0.0
1616299200000.0,0.0
1616385600000.0,0.0
1616472000000.0,0.0
1616558400000.0,0.0
1616644800000.0,0.0
1616731200000.0,0.0
1616817600000.0,0.0
1616904000000.0,0.0
1616990400000.0,0.0
1617076800000.0,0.0
1617163200000.0,0.0
1617249600000.0,0.0
1617336000000.0,0.0
1617422400000.0,0.0
1617508800000.0,0.0
1617595200000.0,0.0
1617681600000.0,0.0
1617768000000.0,0.0
1617854400000.0,0.0
1617940800000.0,0.0
1618027200000.0,0.0
1618113600000.0,0.0
1618200000000.0,0.0
1618286400000.0,0.0
1618372800000.0,0.0
1618459200000.0,0.0
1618545600000.0,0.0
1618632000000.0,0.0
1618718400000.0,0.0
1618804800000.0,0.0
1618891200000.0,0.0
1618977600000.0,0.0
1619064000000.0,0.0
1619150400000.0,0.0
1619236800000.0,0.0
1619323200000.0,0.0
1619409600000.0,0.0
1619496000000.0,0.0
1619582400000.0,0.0
1619668800000.0,0.0
1619755200000.0,0.0
1619841600000.0,0.0
1619928000000.0,0.0
1620014400000.0,0.0
1620100800000.0,0.0
1620187200000.0,0.0
1620273600000.0,0.0
1620360000000.0,0.0
1620446400000.0,0.0
1620532800000.0,0.0
1620619200000.0,0.0
1620705600000.0,0.0
1620792000000.0,0.0
1620878400000.0,0.0
1620964800000.0,0.0
1621051200000.0,0.0
1621137600000.0,0.0
1621224000000.0,0.0
1621310400000.0,0.0
1621396800000.0,0.0
1621483200000.0,0.0
1621569600000.0,0.0
1621656000000.0,541530866.2294549
1621742400000.0,538886073.8717997
1621828800000.0,471491687.5268081
1621915200000.0,583561357.3372014
1622001600000.0,557844137.078681
1622088000000.0,576132234.900567
1622174400000.0,559221216.2354747
1622260800000.0,539922314.634905
1622347200000.0,571214531.2608438
1622433600000.0,565729734.6606271
1622520000000.0,566144828.1877288
1622606400000.0,516863508.3662106
1622692800000.0,521494832.67780095
1622779200000.0,561970228.1811711
1622865600000.0,534629005.4426235
1622952000000.0,529265277.92264163
1623038400000.0,519094925.6316415
1623124800000.0,469589650.2892259
1623211200000.0,451464033.1235348
1623297600000.0,455860468.6142804
1623384000000.0,428144556.1248138
1623470400000.0,365083083.58245695
1623556800000.0,352817417.4695513
1623643200000.0,354223394.8014553
1623729600000.0,375255938.5129977
1623816000000.0,368107362.17759573
1623902400000.0,360857854.84584665
1623988800000.0,372027800.08978456
1624075200000.0,357560609.5746411
1624161600000.0,355142493.428481
1624248000000.0,321514631.75381
1624334400000.0,228707110.76313508
1624420800000.0,213262592.84431532
1624507200000.0,307076633.25567365
1624593600000.0,303305695.657084
1624680000000.0,281397911.03467345
1624766400000.0,270330400.6296778
1624852800000.0,274852876.32751125
1624939200000.0,274376262.1101962
1625025600000.0,309686372.39897776
1625112000000.0,298967746.93612295
1625198400000.0,290583393.4555955
1625284800000.0,292140187.7234922
1625371200000.0,311427384.3790841
1625457600000.0,311910736.3023442
1625544000000.0,305276647.4805777
1625630400000.0,303067516.23685855
1625716800000.0,302982683.4146585
1625803200000.0,307181677.96794224
1625889600000.0,301565211.8299982
1625976000000.0,293226351.37983024
1626062400000.0,289514651.6677396
1626148800000.0,270757826.7836452
1626235200000.0,261793519.64674056
1626321600000.0,267121728.58394164
1626408000000.0,250886878.47265613
1626494400000.0,243407187.4030128
1626580800000.0,247134422.46766916
1626667200000.0,246043392.44672853
1626753600000.0,220123890.3770249
1626840000000.0,213094667.8539907
1626926400000.0,225466431.500008
1627012800000.0,221213413.58971298
1627099200000.0,220514158.80031154
1627185600000.0,233152405.09910154
1627272000000.0,231428484.60835493
1627358400000.0,246033763.88796657
1627444800000.0,241431672.44940728
1627531200000.0,244112302.8981055
1627617600000.0,258453263.98589477
1627704000000.0,368050301.60866636
1627790400000.0,331804929.77164
1627876800000.0,301914238.8950453
1627963200000.0,300393130.6220366
1628049600000.0,296573798.3751452
1628136000000.0,312804305.90422934
1628222400000.0,311682635.0437832
1628308800000.0,347422555.89656293
1628395200000.0,364120318.04984677
1628481600000.0,336080312.4042871
1628568000000.0,366936000.8907149
1628654400000.0,356735813.128337
1628740800000.0,376770482.43979675
1628827200000.0,379702122.14209634
1628913600000.0,396502145.0273964
1629000000000.0,388749307.6668863
1629086400000.0,384464142.6302486
1629172800000.0,386026443.57815546
1629259200000.0,365357577.073434
1629345600000.0,359269994.3945969
1629432000000.0,360925615.5431553
1629518400000.0,380152189.14132386
1629604800000.0,381454163.14633906
1629691200000.0,386909588.7795495
1629777600000.0,392652083.26466066
1629864000000.0,392263511.71551895
1629950400000.0,393819641.5623179
1630036800000.0,381583942.2653534
1630123200000.0,395335513.18303055
1630209600000.0,382319973.41526705
1630296000000.0,380986395.95212764
1630382400000.0,358839949.1713604
1630468800000.0,353808343.3065404
1630555200000.0,358519841.2873173
1630641600000.0,358984836.4141249
1630728000000.0,354502767.331398
