time,netspace
1616126400000.0,1.3083284425647122e+17
1616212800000.0,1.3910327962096253e+17
1616299200000.0,1.396556743529701e+17
1616385600000.0,1.4546941794852237e+17
1616472000000.0,1.5612573094547075e+17
1616558400000.0,1.558425922600794e+17
1616644800000.0,1.6504071244942307e+17
1616731200000.0,1.716108274404697e+17
1616817600000.0,1.7064145615151197e+17
1616904000000.0,1.8199481270448915e+17
1616990400000.0,1.8572309448296285e+17
1617076800000.0,1.9661712291846976e+17
1617163200000.0,2.0145886777913107e+17
1617249600000.0,2.0643157722582144e+17
1617336000000.0,2.076540698019453e+17
1617422400000.0,2.2004635311422483e+17
1617508800000.0,2.291354135329392e+17
1617595200000.0,2.273518241905617e+17
1617681600000.0,2.279617964133237e+17
1617768000000.0,2.665057770077808e+17
1617854400000.0,2.6059921020994662e+17
1617940800000.0,2.8085064224628154e+17
1618027200000.0,2.9124002950860883e+17
1618113600000.0,3.010424120866562e+17
1618200000000.0,3.178079419211634e+17
1618286400000.0,3.337637969364872e+17
1618372800000.0,3.3608034823572294e+17
1618459200000.0,3.555995754733909e+17
1618545600000.0,3.755257003729583e+17
1618632000000.0,3.9401374154889786e+17
1618718400000.0,4.1742171039903046e+17
1618804800000.0,4.398304295341449e+17
1618891200000.0,4.750174543479529e+17
1618977600000.0,5.453551641278468e+17
1619064000000.0,5.7469990234285306e+17
1619150400000.0,6.555606451396914e+17
1619236800000.0,7.24633144527956e+17
1619323200000.0,8.222000213805073e+17
1619409600000.0,9.645718649686157e+17
1619496000000.0,1.0015361477292547e+18
1619582400000.0,1.1609737542247818e+18
1619668800000.0,1.315826946980958e+18
1619755200000.0,1.4931978994418437e+18
1619841600000.0,1.6996298219847954e+18
1619928000000.0,1.9234852073990067e+18
1620014400000.0,1.9793681627182497e+18
1620100800000.0,2.3812034409096064e+18
1620187200000.0,2.705268426119654e+18
1620273600000.0,3.008654192397435e+18
1620360000000.0,3.1426970947918444e+18
1620446400000.0,3.5289977507920435e+18
1620532800000.0,3.179123992191622e+18
1620619200000.0,3.5724408359655004e+18
1620705600000.0,4.1476925659067515e+18
1620792000000.0,4.637039581470301e+18
1620878400000.0,5.048826593261075e+18
1620964800000.0,5.498146234649602e+18
1621051200000.0,5.993882195062179e+18
1621137600000.0,6.599621163545671e+18
1621224000000.0,7.128280510116279e+18
1621310400000.0,7.512960276993568e+18
1621396800000.0,8.039964291570186e+18
1621483200000.0,8.406825481688156e+18
1621569600000.0,9.263800970374953e+18
1621656000000.0,1.0143219745896012e+19
1621742400000.0,1.1289959419501513e+19
1621828800000.0,1.1700700319332934e+19
1621915200000.0,1.2588737980079847e+19
1622001600000.0,1.3874652324797506e+19
1622088000000.0,1.3883049142503397e+19
1622174400000.0,1.503699581799666e+19
1622260800000.0,1.5707111742431625e+19
1622347200000.0,1.6293901649015337e+19
1622433600000.0,1.7625195641387983e+19
1622520000000.0,1.7571596080822612e+19
1622606400000.0,1.8761709094681522e+19
1622692800000.0,1.9135172781713715e+19
1622779200000.0,2.0222829003066348e+19
1622865600000.0,2.0731870813685203e+19
1622952000000.0,2.1782304848104944e+19
1623038400000.0,2.193984929568827e+19
1623124800000.0,2.312653785862112e+19
1623211200000.0,2.282140076787164e+19
1623297600000.0,2.439417946474372e+19
1623384000000.0,2.444212200524959e+19
1623470400000.0,2.570666269613829e+19
1623556800000.0,2.608438809202845e+19
1623643200000.0,2.666900603334814e+19
1623729600000.0,2.7812271559054074e+19
1623816000000.0,2.75396133347749e+19
1623902400000.0,2.7672312173508534e+19
1623988800000.0,2.8324999143113757e+19
1624075200000.0,2.8976270492178825e+19
1624161600000.0,3.133480605556287e+19
1624248000000.0,3.0040078237513937e+19
1624334400000.0,3.053682964695132e+19
1624420800000.0,3.0242947908429177e+19
1624507200000.0,3.1241264790771732e+19
1624593600000.0,3.0943049098077446e+19
1624680000000.0,3.2364486262859796e+19
1624766400000.0,3.2106663557630935e+19
1624852800000.0,3.326342018410532e+19
1624939200000.0,3.2819402789839167e+19
1625025600000.0,3.3449197980979773e+19
1625112000000.0,3.3035559756259615e+19
1625198400000.0,3.3863640713924485e+19
1625284800000.0,3.464648052907491e+19
1625371200000.0,3.449659153214806e+19
1625457600000.0,3.471160281239735e+19
1625544000000.0,3.5003205438913278e+19
1625630400000.0,3.539488124883481e+19
1625716800000.0,3.511805820565529e+19
1625803200000.0,3.6218097977234625e+19
1625889600000.0,3.492069382102201e+19
1625976000000.0,3.6805893266033377e+19
1626062400000.0,3.605502614695404e+19
1626148800000.0,3.616933541435056e+19
1626235200000.0,3.3927910604638536e+19
1626321600000.0,3.3959280252599718e+19
1626408000000.0,3.3704476058999726e+19
1626494400000.0,3.5218272658135708e+19
1626580800000.0,3.543315519745512e+19
1626667200000.0,3.4726131179552563e+19
1626753600000.0,3.63823275729226e+19
1626840000000.0,3.5719632977089257e+19
1626926400000.0,3.649878584163634e+19
1627012800000.0,3.6532723586413486e+19
1627099200000.0,3.59914843401634e+19
1627185600000.0,3.6454285287169147e+19
1627272000000.0,3.6369652423830483e+19
