"Date","USD","GBP","EURO"
2021-09-10,24.025,17.32,20.31
2021-09-09,24.145,17.48,20.41
2021-09-08,24.315,17.66,20.58
2021-09-07,24.245,17.58,20.42
2021-09-06,24.705,17.86,20.82
2021-09-03,24.055,17.4,20.26
2021-09-02,24.165,17.52,20.39
2021-09-01,23.92,17.38,20.24
2021-08-31,24.045,17.47,20.32
2021-08-27,23.61,17.23,20.08
2021-08-26,23.675,17.24,20.1
2021-08-25,23.755,17.32,20.22
2021-08-24,23.76,17.32,20.25
2021-08-23,23.43,17.13,19.98
2021-08-20,23.205,17.04,19.87
2021-08-19,23.34,17.05,19.96
2021-08-18,23.67,17.22,20.21
2021-08-17,23.9,17.33,20.31
2021-08-16,23.54,16.98,19.98
2021-08-13,23.385,16.94,19.9
2021-08-12,23.415,16.91,19.95
2021-08-11,23.415,16.95,19.99
2021-08-10,23.39,16.88,19.95
2021-08-09,23.84,17.17,20.28
2021-08-06,24.975,17.95,21.16
2021-08-05,25.45,18.29,21.48
2021-08-04,25.67,18.43,21.65
2021-08-03,25.46,18.27,21.42
2021-08-02,25.405,18.27,21.37
2021-07-30,25.49,18.25,21.42
2021-07-29,25.45,18.23,21.43
2021-07-28,24.795,17.86,21.01
2021-07-27,25.115,18.21,21.31
2021-07-26,25.365,18.4,21.51
2021-07-23,25.165,18.32,21.39
2021-07-22,25.07,18.22,21.26
2021-07-21,25.105,18.45,21.33
2021-07-20,25.095,18.43,21.3
2021-07-19,25.325,18.48,21.51
2021-07-16,26.105,18.91,22.12
2021-07-15,26.205,18.89,22.17
2021-07-14,26.17,18.88,22.18
2021-07-13,26.105,18.84,22.04
2021-07-12,25.925,18.71,21.88
2021-07-09,26.01,18.84,21.94
2021-07-08,26.105,18.96,22.05
2021-07-07,26.385,19.08,22.32
2021-07-06,26.61,19.21,22.47
2021-07-05,26.545,19.15,22.35
2021-07-02,26.17,19.04,22.13
2021-07-01,26.26,19.04,22.13
2021-06-30,25.765,18.59,21.68
2021-06-29,25.955,18.76,21.8
2021-06-28,26.09,18.76,21.86
2021-06-25,26.13,18.8,21.87
2021-06-24,25.99,18.63,21.76
2021-06-23,25.945,18.58,21.73
2021-06-22,25.97,18.71,21.84
2021-06-21,25.955,18.7,21.82
2021-06-18,26.385,18.98,22.14
2021-06-17,26.595,19.07,22.29
2021-06-16,27.71,19.63,22.87
2021-06-15,27.625,19.61,22.8
2021-06-14,27.73,19.66,22.88
2021-06-11,28.14,19.87,23.16
2021-06-10,27.66,19.63,22.73
2021-06-09,27.58,19.46,22.62
2021-06-08,27.715,19.6,22.76
2021-06-07,27.58,19.49,22.69
2021-06-04,27.365,19.38,22.6
2021-06-03,27.755,19.58,22.77
2021-06-02,27.745,19.65,22.79
2021-06-01,28.21,19.89,23.08
2021-05-28,27.63,19.49,22.69
2021-05-27,27.655,19.59,22.66
2021-05-26,28.12,19.84,22.98
2021-05-25,27.555,19.46,22.5
2021-05-24,27.645,19.57,22.63
2021-05-21,27.8,19.55,22.75
2021-05-20,27.74,19.63,22.74
2021-05-19,27.675,19.55,22.67
2021-05-18,28.475,20.07,23.32
2021-05-17,27.61,19.59,22.7
2021-05-14,27.23,19.35,22.48
2021-05-13,26.82,19.13,22.22
2021-05-12,27.41,19.38,22.61
2021-05-11,27.48,19.46,22.6
2021-05-10,27.735,19.68,22.8
2021-05-07,27.375,19.68,22.68
2021-05-06,26.725,19.28,22.2
2021-05-05,26.295,18.9,21.88
2021-05-04,26.825,19.33,22.34
2021-04-30,25.875,18.6,21.41
2021-04-29,26.285,18.85,21.68
2021-04-28,25.87,18.65,21.44
2021-04-27,26.285,18.9,21.76
2021-04-26,26.11,18.79,21.59
2021-04-23,26.125,18.82,21.67
2021-04-22,26.3,18.92,21.83
2021-04-21,25.91,18.59,21.57
2021-04-20,25.88,18.52,21.48
2021-04-19,26.105,18.75,21.67
2021-04-16,26.14,18.96,21.8
2021-04-15,25.585,18.59,21.39
2021-04-14,25.33,18.41,21.19
2021-04-13,24.95,18.17,20.98
2021-04-12,25.16,18.28,21.12
2021-04-09,25.225,18.39,21.23
2021-04-08,25.33,18.44,21.35
2021-04-07,24.985,18.09,21.01
2021-04-06,25.04,18.11,21.21
2021-04-01,24.315,17.65,20.72
2021-03-31,24,17.44,20.46
2021-03-30,24.34,17.7,20.75
2021-03-29,24.83,17.95,21.1
2021-03-26,25.055,18.19,21.28
2021-03-25,24.67,18.01,20.9
2021-03-24,25.195,18.37,21.29
2021-03-23,25.62,18.6,21.56
2021-03-22,25.74,18.56,21.58
2021-03-19,26.175,18.83,22
2021-03-18,26.13,18.72,21.88
2021-03-17,25.85,18.6,21.73
2021-03-16,26.08,18.81,21.83
2021-03-15,26.1,18.77,21.89
2021-03-12,25.475,18.35,21.38
2021-03-11,26.25,18.81,21.95
2021-03-10,25.645,18.49,21.57
2021-03-09,25.755,18.56,21.64
2021-03-08,25.155,18.18,21.2
2021-03-05,25.355,18.35,21.25
2021-03-04,25.955,18.62,21.57
2021-03-03,26.585,19.06,22.04
2021-03-02,26.26,18.86,21.83
2021-03-01,26.89,19.29,22.33
2021-02-26,26.685,19.17,22.04
2021-02-25,27.925,19.75,22.84
2021-02-24,27.745,19.63,22.81
2021-02-23,27.965,19.85,23.01
2021-02-22,27.445,19.57,22.61
2021-02-19,26.95,19.25,22.2
2021-02-18,27.165,19.49,22.51
2021-02-17,27.115,19.56,22.48
2021-02-16,27.575,19.8,22.67
2021-02-15,27.57,19.83,22.73
2021-02-12,27.07,19.64,22.36
2021-02-11,27.125,19.62,22.36
2021-02-10,27.23,19.68,22.46
2021-02-09,27.635,20.06,22.83
2021-02-08,27.18,19.87,22.59
2021-02-05,26.53,19.38,22.14
2021-02-04,26.4,19.43,22.01
2021-02-03,26.8,19.67,22.31
2021-02-02,27.325,19.99,22.72
2021-02-01,29.585,21.58,24.48
2021-01-29,27.415,19.99,22.6
2021-01-28,25.205,18.48,20.83
2021-01-27,25.185,18.37,20.79
2021-01-26,25.4,18.58,20.93
2021-01-25,25.635,18.73,21.09
2021-01-22,25.32,18.53,20.79
2021-01-21,25.865,18.85,21.3
2021-01-20,25.295,18.49,20.88
2021-01-19,25.295,18.58,20.86
2021-01-18,24.865,18.35,20.61
2021-01-15,25.245,18.51,20.82
2021-01-14,25.25,18.5,20.78
2021-01-13,25.335,18.53,20.83
2021-01-12,25.525,18.78,21
2021-01-11,25.02,18.55,20.56
