CHIA_IMPACT,base_price,2021-01,2021-02,2021-03,2021-04,2021-05,2021-06,2021-07,2021-08,2021-09,2021-10,brand,product,drive_type,drive_subtype,capacity
0,2511.516129032258,1.0,1.0763987640344295,0.9536072543252373,0.9536072543252373,0.9536072543252373,0.8143288336308874,0.7636821351965783,0.7574142337875849,0.7393940172367289,0.7393940172367289,ADATA,su800,ssd,sata,128gb
0,3375.2258064516127,1.0,0.9880820399113083,0.9880820399113083,0.9880820399113083,0.9880820399113083,0.9880820399113083,0.9880820399113083,0.9285400259958713,0.8035017967734537,0.8035017967734537,ADATA,su800,ssd,sata,512gb
1,9171.935483870968,1.0,0.812754922599997,0.9811451482432385,0.9811451482432385,0.9811451482432385,1.055600534590089,1.1118805613195935,1.1392360988991665,1.0,1.0,ADATA,su800,ssd,sata,1tb
0,18703.0,1.0,1.0,1.0,1.0021600812703846,0.9868866992185142,0.9837459231139389,0.9837459231139389,0.9837459231139389,0.9637099217594325,0.9564241030850665,ADATA,su800,ssd,sata,2tb
0,2799.3548387096776,1.0,0.9973726665130214,0.9973726665130214,0.9973726665130214,0.9973726665130214,0.9973726665130214,0.9973726665130214,1.0210186678958284,1.0380963355611892,0.9715854747637704,ADATA,su760,ssd,sata,256gb
1,8183.0,1.0,0.9502627398264695,0.801050959305878,0.8745366410037069,1.0215080043993645,1.0215080043993645,1.0484718515569256,1.0139273789484886,0.8469998777954295,1.0,ADATA,su760,ssd,sata,1tb
1,2529.6451612903224,1.0,1.0164751435967596,1.0792665042910519,1.1808507292025316,1.077646998814063,1.139000327301632,1.145258164475446,1.1593236333031536,1.070782590953723,1.001785281628177,ADATA,su635,ssd,sata,256gb
1,4283.225806451613,1.0,1.0298312998945625,1.0454435909022444,1.0176909173068234,0.9939749962343726,0.994235075563589,1.0422051513782196,1.0321132700707938,1.0422051513782196,1.0348546467841544,ADATA,su635,ssd,sata,512gb
1,7180.0,1.0,1.0,1.0,0.9991179201485608,1.0157112049600143,1.0599721448467967,1.0942896935933148,1.1214125258334082,1.1186629526462395,1.0,ADATA,su635,ssd,sata,1tb
0,14912.290322580646,1.0,0.8006147775919841,0.9961754863383958,0.9932075945150244,1.0,1.0,1.0,1.0,1.0,1.0,ADATA,su635,ssd,sata,2tb
1,3092.8064516129034,1.0,1.0061250352013518,1.0113791628857807,1.0113791628857807,1.0113791628857807,1.0175332283376965,1.1784160956225163,0.9650111118450762,1.0,1.0,ADATA,su800,ssd,m2,256gb
0,4437.0,1.0,1.0,1.0,0.9710089399744573,0.887391219001505,0.8154158215010142,0.8154158215010142,1.0,1.0,1.0,ADATA,su800,ssd,m2,512gb
0,1780.5483870967741,1.0,1.0058698842328389,1.0058698842328389,1.0,1.0,1.0,1.0,1.0,1.0,1.0,ADATA,su650,ssd,m2,128gb
0,2457.0,1.0,1.004360718646433,1.0203500203500204,1.0203500203500204,1.0203500203500204,1.0203500203500204,1.0203500203500204,0.9894179894179894,1.0,1.0,ADATA,su650,ssd,m2,256gb
0,4749.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,ADATA,su650,ssd,m2,512gb
0,4084.451612903226,1.0,0.8856845562467985,0.8253249932868945,0.8253249932868945,0.8253249932868945,0.8253249932868945,0.850045017296119,0.9950401996556572,0.9495358743096032,0.9411221153390513,XPG,sx8200 pro,ssd,nvme,256gb
0,5585.387096774193,1.0,0.9848850563806641,0.9809006220148199,0.8556673423930726,0.7797131916810572,0.7797131916810572,0.9238161793158415,0.9556157484680647,0.8054947530133355,0.8054947530133355,XPG,sx8200 pro,ssd,nvme,512gb
0,10804.612903225807,1.0,1.017696934361113,0.9382402378912232,0.9645602386077632,0.8834368832905897,0.9402342090047162,0.9502392944471147,0.9720937592366463,0.9398115500249296,0.9594587735823706,XPG,sx8200 pro,ssd,nvme,1tb
1,21620.612903225807,1.0,0.9851015831666018,0.9843578186288771,0.9719335938374222,1.0562366558794698,1.1211862236207284,0.9716698073373826,0.9092831064739593,0.7840850800982934,0.7713009836789563,XPG,sx8200 pro,ssd,nvme,2tb
0,3072.935483870968,1.0,0.940794238985524,0.940794238985524,0.940794238985524,0.940794238985524,0.940794238985524,0.940794238985524,1.0,1.0,1.0,XPG,sx6000 pro,ssd,nvme,256gb
0,5227.0,1.0,1.0,1.0,1.0,0.9192283243950456,0.8435048785154008,0.8435048785154008,0.8435048785154008,0.8435048785154008,0.8435048785154008,XPG,sx6000 pro,ssd,nvme,512gb
0,7141.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,XPG,sx6000 pro,ssd,nvme,1tb
0,2977.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,XPG,sx6000 lite,ssd,nvme,128gb
0,4079.0,1.0,1.0,0.9686830263584528,0.5145869085560186,0.5145869085560186,0.5145869085560186,0.8480019612650159,1.0,1.0,1.0,Crucial,mx500,ssd,sata,256gb
1,4055.8709677419356,1.0,0.9813639896196444,0.8903143193459103,0.936510726518839,1.1240257054687748,1.2147822352304902,1.1166369738809532,1.1092561957178761,1.1469957263597705,1.1496914071199058,Crucial,mx500,ssd,sata,512gb
0,9281.0,1.0,1.0025859282404914,1.0241353302445857,0.9880939553927378,0.8330651243782824,0.9356570771827749,1.0839801050359563,1.1312358582049349,1.1142405631577057,1.1312358582049349,Crucial,mx500,ssd,sata,1tb
1,19844.0,1.0,1.0028220116911912,0.9379319986215059,0.667556944164483,0.9776271043168976,1.0666700262043942,0.8504024942942044,0.8745131379599587,0.95741785930256,0.95741785930256,Crucial,mx500,ssd,sata,2tb
1,2548.0,1.0,1.0,1.0363093128070087,1.0256017791732077,0.9364207221350078,1.0290947148090004,1.0357142857142858,1.0841267027902972,1.161813186813187,1.2162480376766092,Crucial,bx500,ssd,sata,256gb
0,9199.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9064414434949101,0.7846084251794551,0.8642243722143711,1.0,Crucial,bx500,ssd,sata,1tb
0,18700.0,1.0,1.0,1.0,1.0,1.0,0.9950089126559716,0.9893048128342246,0.9720510608935656,0.7218716577540107,0.7218716577540107,Crucial,bx500,ssd,sata,2tb
0,5055.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,Crucial,p5,ssd,nvme,256gb
0,3748.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,Crucial,p2,ssd,nvme,256gb
0,4786.419354838709,1.0,1.005851809988514,0.9742146799749292,0.9742146799749292,0.9403015251484376,0.8778587266392146,1.018088813106976,1.022819940827206,1.0914212927705405,1.0,Crucial,p2,ssd,nvme,512gb
0,2999.0,1.0,1.0,1.0,1.0,1.0,0.9836612204068023,0.9836612204068023,0.9836612204068023,1.045192842058464,0.9794431477159052,Kingston,kc600,ssd,sata,256gb
0,5743.0,1.0,0.9296783662097957,0.9104997388124674,0.9104997388124674,0.9104997388124674,0.8783214347901793,0.7940550347407502,0.7928442186707447,1.0,1.0,Kingston,kc600,ssd,sata,512gb
0,1500.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,Kingston,q500,ssd,sata,128gb
0,3916.1290322580644,1.0,0.970345963756178,0.7623970345963756,0.7315897858319604,0.8477347611202637,0.8960378912685338,1.0,1.0,1.0,1.0,Kingston,q500,ssd,sata,256gb
0,10000.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,Kingston,q500,ssd,sata,512gb
