CHIA_IMPACT,SECOND_HAND,base_price,2021-01,2021-02,2021-03,2021-04,2021-05,2021-06,2021-07,2021-08,2021-09,2021-10,brand,product,drive_type,drive_subtype,capacity
0,0,2447.3870967741937,1.0,1.0210889823247966,0.9790560044286862,1.0456049242773728,1.0210889823247966,1.0210889823247966,1.0593127627884906,1.0289973506965955,1.0210889823247966,1.0210889823247966,ADATA,su800,ssd,sata,128gb
0,0,3647.3225806451615,1.0,1.0375223160982932,1.0353772541944157,1.0412295364695268,1.113879381251824,1.0717816280022758,1.0475293410101973,0.9649499854068826,0.9587489423675049,0.9327301511493186,ADATA,su800,ssd,sata,512gb
0,0,10402.225806451614,1.0,1.009303219844388,1.009303219844388,1.0865302814637479,1.154647423473264,1.1214587035239563,1.082178441958762,1.0769066173802753,0.9887520626444367,1.0,ADATA,su800,ssd,sata,1tb
0,0,20996.935483870966,1.0,0.9999078206497108,1.0014502884445504,1.0110713544987364,1.0646054339726998,1.1398012510786264,1.1429763175885883,1.110713544987364,1.0604245883295822,1.0409967660411275,ADATA,su800,ssd,sata,2tb
0,0,2992.548387096774,1.0,1.0809229684177135,1.1519904278368853,1.1692375685843333,1.16276989080404,1.1692375685843333,1.1864847093317812,1.1153402537485582,0.9876754806742194,1.0,ADATA,su760,ssd,sata,256gb
0,0,9057.064516129032,1.0,1.024346399658489,1.0430959258322678,1.0487945606530635,1.0861918516645355,1.196745367187973,1.1057809088610209,1.0861918516645355,1.0487945606530635,1.0,ADATA,su760,ssd,sata,1tb
0,0,4999.0,1.0,1.0,1.0193199930308643,1.514816296592652,1.413050352005885,1.1000200040008001,1.076789551458679,1.0605024230652582,1.0553444022137761,1.0613025830972644,ADATA,su740,ssd,sata,512gb
0,0,8999.0,1.0,1.0,1.1252325527209115,1.3418379819979998,1.111123458162018,1.06111790198911,1.0483924737157175,1.0233000799371974,1.0185205763603362,1.021369895800388,ADATA,su740,ssd,sata,2tb
0,0,8999.0,1.0,1.0,1.041223218350426,1.055561729081009,1.016847750108435,1.0881579434752011,1.055561729081009,1.055561729081009,1.0,1.0,ADATA,su720,ssd,sata,1tb
0,0,19224.8064516129,1.0,0.988254422629365,1.0,1.0333350672042787,0.9862408950801133,1.0402705509850345,1.0402705509850345,1.0402705509850345,0.9778511969582311,0.9362170149484591,ADATA,su720,ssd,sata,2tb
0,0,2750.6129032258063,1.0,1.0461564494214108,1.143076616355299,1.1630135219130047,1.1729819746918575,1.1981572044549211,1.1536314487093786,1.1231397107975936,1.015167685012529,0.9859268901945608,ADATA,su635,ssd,sata,256gb
0,0,4705.451612903225,1.0,1.0396148011474093,1.1096874592956696,1.12614057819002,1.12614057819002,1.1112642165230449,1.0582303299535885,1.0623847424744122,1.0297984264419904,0.9828613344850518,ADATA,su635,ssd,sata,512gb
0,0,8434.483870967742,1.0,1.0076490903319322,1.0837575391346583,1.1024978104478924,1.0875820843006245,1.1024978104478924,1.1024978104478924,1.0383257671081467,1.0077676512320772,1.0076988094190897,ADATA,su635,ssd,sata,1tb
0,0,17999.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,ADATA,su635,ssd,sata,2tb
0,0,3622.1612903225805,1.0,1.0429053611345418,1.0986935264100028,1.1040369766758396,1.0541647741946976,1.0764291503023502,1.050602474017473,1.0488213239288608,1.2925064047188604,1.5339709850650565,ADATA,su800,ssd,m2,256gb
0,0,6530.258064516129,1.0,0.883644798477982,0.9527312065916479,0.9645866882699888,0.9645866882699888,0.9645866882699888,0.9645866882699888,0.9645866882699888,0.9645866882699888,1.1059633072842054,ADATA,su800,ssd,m2,512gb
0,0,10299.0,1.0,1.0,1.0156607750830804,1.0194193611030198,1.0541862817874583,1.1650645693756676,1.1650645693756676,1.1650645693756676,1.3697478719616791,1.5604427614331489,ADATA,su800,ssd,m2,1tb
0,0,2240.935483870968,1.0,1.0960346135892063,1.1151592796787055,1.1151592796787055,1.1151592796787055,1.1151592796787055,1.1151592796787055,1.079531877528106,1.0765035483453052,1.0,ADATA,su650,ssd,m2,128gb
0,0,2953.8387096774195,1.0,1.0987155665594874,1.1714554052135548,1.1191087231122614,1.1168517729799385,1.1168517729799385,1.1168517729799385,1.1168517729799385,1.1168517729799385,1.0,ADATA,su650,ssd,m2,256gb
0,0,5240.935483870968,1.0,1.045151470654182,0.9630698779459466,0.9538373474324332,0.9538373474324332,1.0861292513238423,1.1064818519225206,1.0566261871495486,1.011079036616216,1.0,ADATA,su650,ssd,m2,512gb
0,0,4531.903225806452,1.0,0.9918570137163764,0.9918570137163764,0.9918570137163764,1.0026194221611657,0.9927396450967692,0.9927396450967692,1.0790026265401562,1.025838321861498,1.0,XPG,sx8200 pro,ssd,nvme,256gb
0,0,6195.774193548387,1.0,0.9734284479610378,1.0060186703736678,1.0346729560730779,1.0935913656029865,1.1113058327996708,1.0984021367321117,1.119227985775945,1.0381807232470275,0.9682405802081543,XPG,sx8200 pro,ssd,nvme,512gb
0,0,11928.161290322581,1.0,1.005651343623559,1.0229519191503975,0.9724046915269637,1.0468152082493853,1.0660653968786256,1.0194605879823568,0.9760285364264022,0.9807882133092464,0.9302166464290252,XPG,sx8200 pro,ssd,nvme,1tb
0,0,24241.483870967742,1.0,0.9648101038665866,0.9883537417862741,0.989997152308892,1.0328642183620187,1.1982214793977088,1.0432250234867981,0.9524581961606736,1.0616401813650997,0.9720713359929527,XPG,sx8200 pro,ssd,nvme,2tb
