CHIA_IMPACT,base_price,2021-01,2021-02,2021-03,2021-04,2021-05,2021-06,2021-07,2021-08,2021-09,2021-10,asin,brand,product,drive_type,drive_subtype,capacity
1,4979.870967741936,1.0,1.031732125274839,0.9682139710835882,1.1108855435214455,1.062140488158781,1.1452974123784354,1.1255894698657822,1.089327356583925,0.9637130555699505,0.9686609317510494,B07G3KGYZQ,Crucial,bx500,ssd,sata,512gb
0,40585.6129032258,1.0,0.9704353702783148,0.9716894752152757,0.9712752175011964,1.0016937513213804,1.0422198978291477,1.027009412202322,0.963688069981894,0.9728176359968653,0.9139310450072091,B07RTMPWD8,Western Digital,wd red pro,hdd,35,12tb
1,37047.77419354839,1.0,1.0096943577771733,1.0796600030823322,1.0542000839950045,1.1580034846027056,1.2156177884817714,1.098014682001705,1.1775240513338925,1.1836545547263444,1.1418748898628845,B084ZV1DN6,Seagate,ironwolf pro,hdd,35,12tb
0,31762.387096774193,1.0,1.0226561341574636,0.9991265790131155,0.9624685923906751,0.9597556046206002,0.9894617356973928,0.9689833989076144,0.9120404129859421,0.8239063787491935,0.7457623848049123,B07MFZXR1B,Samsung Electronics,970 evo plus,ssd,nvme,2tb
1,49905.903225806454,1.0,1.0018654461331422,1.0018654461331422,1.000285138763294,1.519355457981246,1.434749439213453,1.2147725752270562,1.127865150092141,1.117728158950317,1.045992361107969,B08K3VVKSW,Western Digital,wd red pro,hdd,35,16tb
0,23963.74193548387,1.0,1.1353893997306224,0.8914125641426026,1.2678362203113305,0.8708977002891466,0.9597875015480376,0.9287593084175555,0.9190712851135318,0.9313653961091757,0.8655132215874519,B08LB9TMYK,Seagate,barracuda q5,ssd,nvme,2tb
0,9116.193548387097,1.0,1.1209996744538255,1.1584100607922097,1.1412584954576872,1.0664078810482587,1.0654849104630069,1.1383005074274066,1.1454943701743088,1.0467197684375906,0.9993559847417923,B078211KBB,Crucial,mx500,ssd,sata,1tb
0,88286.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5714835874317559,0.4021387967112749,0.4179598124277915,0.46392479573351414,B07C8Y31G1,Samsung Electronics,970 evo,ssd,nvme,2tb
0,19061.612903225807,1.0,1.0921707318252476,1.0905704760454213,1.0918383510179215,1.0504645377468649,0.9551640125681858,1.1391074782961872,1.234797177235112,1.2217696434313179,1.2204616608282142,B07QRC1Z94,Seagate,firecuda 510,ssd,nvme,1tb
0,10953.838709677419,1.0,1.0025480830111113,1.0221516098348202,0.9751771608519427,0.9974349837588238,1.0356247674748482,1.1109347437486932,1.2556152063350896,1.1430026494369825,1.1126869649467415,B01IY9UTMM,Western Digital,wd gold,hdd,35,2tb
1,51288.06451612903,1.0,0.9851393951755288,1.0070745252935664,0.9513616951689697,1.2910713050260074,1.1289475217986535,1.0477926701175524,1.0312837672098771,0.9051501638436913,0.9137320510965892,B07SLPTK17,Seagate,ironwolf pro,hdd,35,16tb
1,60897.1935483871,1.0,0.9789238356008475,0.9401243661316031,0.9975155907920965,1.2372830359786695,1.1394471451003532,1.0435678745723225,0.9924817765318916,0.9879360579322917,0.9490844697011832,B08K3TFM92,Western Digital,wd red pro,hdd,35,18tb
0,3622.1612903225805,1.0,1.0429053611345418,1.0986935264100028,1.1040369766758396,1.0541647741946976,1.0764291503023502,1.050602474017473,1.0488213239288608,1.2925064047188604,1.5339709850650565,B01M3Z46FQ,ADATA,su800,ssd,m2,256gb
0,11848.290322580646,1.0,0.9511740012656164,0.9283195887796524,0.9058128254065058,0.9016381838130995,0.9283195887796524,0.9294086257170626,0.9281698462007585,0.8911834292139603,0.8629773725350329,B07ZPRQ4YM,Seagate,firecuda 520,ssd,nvme,512gb
0,7747.0,1.0,1.0054214534658577,1.025778969590726,1.0975044103093672,1.03634705630067,1.0886192504625445,1.194447798731663,1.1854869939248074,1.1839120519771094,1.1060681137755717,B01IY9USY6,Western Digital,wd gold,hdd,35,1tb
1,30448.41935483871,1.0,0.7165115076384373,0.7152095399835364,0.47122095784762735,0.6807716063443094,0.8147549372232893,0.9064605292292306,0.7956067426562744,0.6181831569200584,0.928397314809661,B01IEKG2HM,Seagate,firecuda,hdd,35,2tb
